np,distance,MRE,dir.hor,dir.ver,id
1802338,0.14834,8.19E-04,0,0,var1
1819921,0.211154392,0.001353248,0,0,var1
1957486,0.291403074,0.002059262,0,0,var1
2910514,0.331586094,0.002454701,0,0,var1
1412280,0.385133837,0.00301318,0,0,var1
2770162,0.432848983,0.003457392,0,0,var1
3438770,0.472437438,0.003868051,0,0,var1
3980041,0.533697032,0.004495944,0,0,var1
2817658,0.59098828,0.005050661,0,0,var1
3633990,0.619559905,0.005296128,0,0,var1
5434850,0.675567831,0.005848553,0,0,var1
4293700,0.736756927,0.006358647,0,0,var1
4657872,0.77729125,0.006663073,0,0,var1
5625711,0.82482085,0.007096589,0,0,var1
5136322,0.877428866,0.007446158,0,0,var1
6427514,0.927063958,0.007750532,0,0,var1
6353222,0.978919301,0.008102079,0,0,var1
6241138,1.025573695,0.008349065,0,0,var1
5200422,1.070077767,0.008587617,0,0,var1
8264355,1.119897952,0.008820138,0,0,var1
9160640,1.174687927,0.009046447,0,0,var1
4185440,1.220936694,0.009205144,0,0,var1
12879428,1.274857091,0.009406813,0,0,var1
6878934,1.32970294,0.009554445,0,0,var1
6576770,1.378432332,0.009690844,0,0,var1
12025219,1.423992979,0.009790858,0,0,var1
7393376,1.471326897,0.009899725,0,0,var1
7601836,1.521396082,0.009977636,0,0,var1
15471286,1.574436487,0.010070757,0,0,var1
8388310,1.625461159,0.010122902,0,0,var1
7748264,1.676980623,0.010198833,0,0,var1
14039031,1.719911138,0.010254539,0,0,var1
12475338,1.776215535,0.010290673,0,0,var1
7578360,1.824626266,0.010324848,0,0,var1
15970098,1.87364926,0.010381956,0,0,var1
11136650,1.923596448,0.010399724,0,0,var1
10268304,1.977629654,0.010406085,0,0,var1
15152577,2.018071731,0.010461925,0,0,var1
12561780,2.075471925,0.010459573,0,0,var1
11516784,2.116846027,0.010466012,0,0,var1
15014186,2.169543336,0.010514238,0,0,var1
17273150,2.223150257,0.010498379,0,0,var1
9776597,2.27626043,0.010510101,0,0,var1
17932172,2.318847345,0.010523299,0,0,var1
14770178,2.375351208,0.010525371,0,0,var1
17295244,2.427900813,0.010543999,0,0,var1
13289844,2.475971428,0.0105332,0,0,var1
17422680,2.526271231,0.010539112,0,0,var1
15001825,2.572875584,0.010547468,0,0,var1
15630794,2.622887329,0.010549547,0,0,var1
21750150,2.677926005,0.010550103,0,0,var1
14015144,2.728907305,0.010556393,0,0,var1
15493194,2.770945344,0.010546653,0,0,var1
22226842,2.827325852,0.010556785,0,0,var1
18027557,2.878445705,0.010553808,0,0,var1
11198692,2.922232281,0.010548929,0,0,var1
26365062,2.973041358,0.010549577,0,0,var1
19304140,3.027980976,0.010555938,0,0,var1
15431802,3.081596558,0.01054618,0,0,var1
22179864,3.126962926,0.010535548,0,0,var1
18435124,3.169227372,0.010538468,0,0,var1
16056846,3.21954811,0.010544968,0,0,var1
28231926,3.274301398,0.010532219,0,0,var1
16604815,3.32191969,0.010529092,0,0,var1
18275854,3.366054299,0.010521728,0,0,var1
28282606,3.423052158,0.010531002,0,0,var1
24148324,3.47959068,0.010516233,0,0,var1
13881284,3.52690371,0.010507926,0,0,var1
28055228,3.571021836,0.01052126,0,0,var1
22738483,3.626021826,0.010505042,0,0,var1
20527834,3.676509184,0.010505781,0,0,var1
22081364,3.721082815,0.010506611,0,0,var1
28243740,3.772580114,0.010508681,0,0,var1
21610544,3.825646026,0.010491954,0,0,var1
26821580,3.876979715,0.010503499,0,0,var1
24527807,3.929214117,0.010496504,0,0,var1
21842526,3.974486226,0.010502729,0,0,var1
27711764,4.023615682,0.010494945,0,0,var1
25558184,4.080123932,0.010498886,0,0,var1
23765974,4.123249088,0.010498392,0,0,var1
25761618,4.173830711,0.010489379,0,0,var1
29954389,4.225734459,0.010501748,0,0,var1
23198240,4.276266318,0.01049396,0,0,var1
26749608,4.321142341,0.010495839,0,0,var1
26972434,4.375055753,0.010489315,0,0,var1
29149698,4.419713525,0.010501496,0,0,var1
24333344,4.472226361,0.010487262,0,0,var1
35333295,4.52674156,0.010502747,0,0,var1
25921568,4.574619574,0.010477895,0,0,var1
27527070,4.626116971,0.010499594,0,0,var1
33649058,4.680168724,0.010493017,0,0,var1
29323806,4.728034496,0.010498664,0,0,var1
21664034,4.773446263,0.010472504,0,0,var1
40453361,4.828233816,0.010500227,0,0,var1
26257846,4.877445959,0.010483648,0,0,var1
29428062,4.928179039,0.010493279,0,0,var1
31103786,4.976712835,0.010489267,0,0,var1
32005688,5.024594975,0.010494744,0,0,var1
27949834,5.073426876,0.010489807,0,0,var1
37316213,5.127035394,0.010498265,0,0,var1
